Joueur,Age,Position,Ligue,equipe,Matchs joues,Titularisations,Minutes jouees,Matches equivalents 90 minutes,Buts,Passes decisives,Buts + Passes décisives,Buts hors penalty,Penalty marques,Penalty tentes,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG) ,Passes decisives attendues (xAG),xG + xAG hors penalty,Passes progressives ,Courses progressives ,Receptions progressives ,Buts par 90 minutes,Passes decisives par 90 minutes,Buts + Passes decisives par 90 minutes ,Buts hors penalty par 90 minutes,Buts + Passes decisives hors penalty par 90 min,xG par 90 minutes,xAG par 90 minutes,xG + xAG par 90 minutes,npxG par 90 minutes,npxG + xAG par 90 minutes,Matches (equivalents 90 minutes),Actions menant a un tir,Actions menant a un tir par 90 minutes ,Passes vivantes menant a un tir,Passes arretees menant a un tir,Ballons perdus menant a un tir,Tirs menant a un tir,Fautes subies menant a un tir,Actions defensives menant a un tir,Actions menant a un but,Actions menant a un but par 90 minutes,Passes vivantes menant a un but,Passes arretees menant a un but,Ballons perdus menant a un but,Tirs menant a un but,Fautes subies menant a un but ,Actions defensives menant a un but,Passes reussies totales,Passes tentees totales,Pourcentage de reussite des passes,Distance totale des passes ,Distance progressive des passes,Passes courtes reussies,Passes courtes tentees,Pourcentage de reussite des passes courtes,Passes moyennes reussies,Passes moyennes tentees,Pourcentage de reussite des passes moyennes,Passes longues reussies,Passes longues tentees,Pourcentage de reussite des passes longues,Passes decisives,Passes decisives attendues (xAG),Passes attendues ,Difference entre passes attendues et xAG,Passes cles,Passes vers le dernier tiers,Passes dans la surface adverse,Centres dans la surface adverse,Passes progressives,Deuxieme carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres,Performance Iterceptions ,Tacles reussis,Penalty obtenus,Penalty concedes,Buts contre son camp,Ballons recuperes,Duels aeriens gagnes,Duels aeriens perdus,Pourcentage de duels aeriens gagnes,Buts,Tirs,Tirs cadres,Pourcentage de tirs cadres,Tirs par 90 minutes,Tirs cadres par 90 minutes,Buts par tir,Buts par tir cadre,Distance moyenne des tirs,Coups francs,Penalty marques,Penalty tentes,Buts attendus (xG),Buts attendus hors penalty (npxG),npxG par tir,Difference entre buts reels et xG ,Difference entre buts reels hors penalty et npxG,Tacles,Tacles reussis,Tacles dans le tiers defensif,Tacles dans le tiers median,Tacles dans le tiers offensif,Tacles dans les duels ,Duels tentes,Pourcentage de tacles reussis Tkl%,Duels perdus,Contres,Tirs contres ,Passes contrees ,Interceptions ,Tacles + Interceptions,Degagements,Erreurs ayant conduit a un tir adverse,Minutes par match ,Pourcentage de minutes jouees ,Titularisations,Minutes par titularisation ,Matches completes,Remplacants,Minutes par entree,Matches non remplace,Points par match,Buts marques avec le joueur,Buts encaisses avec le joueur,Difference de buts avec le joueur,Difference de buts par 90 minutes,Difference avec/sans le joueur,xG marques avec le joueur ,xG encaisses avec le joueur,Difference de xG avec le joueur,Difference de xG par 90 minutes,Difference de xG avec/sans le joueur,Touches,Touches dans la surface defensive,Touches dans le tiers defensif,Touches dans le tier median,Touches dans le tiers offensif,Touches dans la surface offensive,Ballons en jeu,Dribbles tentes,Dribbles reussis,Pourcentage de dribbles reussis,Ballons perdus apres dribble,Pourcentage de ballons perdus apres dribble,Portees de balle,Distance totale parcourue avec le ballon,Distance progressive parcourue avec le ballon,Courses progressives,Courses vers le dernier tiers,Courses dans la surface adverse
Keyliane Abdallah,17.0,Forward,Ligue 1,Marseille,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,22.5,22.21,0.2,0.0,0.2,4.03,3.46,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Matthis Abline,20.0,Forward,Ligue 1,Nantes,22.0,12.0,1044.0,11.6,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,3.8,3.8,2.0,5.8,28.0,20.0,87.0,0.43,0.0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5,11.6,38.0,3.28,30.0,0.0,5.0,2.0,1.0,0.0,2.0,0.17,0.0,0.0,1.0,0.0,1.0,0.0,162.0,231.0,70.1,2410.0,448.0,91.0,128.0,71.1,52.0,68.0,76.5,9.0,11.0,81.8,0.0,2.0,0.9,-2.0,17.0,6.0,7.0,2.0,20.0,0.0,10.0,13.0,6.0,7.0,3.0,4.0,1.0,0.0,0.0,39.0,15.0,27.0,35.7,5.0,42.0,19.0,45.2,3.62,1.64,0.12,0.26,17.4,0.0,0.0,0.0,3.8,3.8,0.09,1.2,1.2,9.0,4.0,4.0,3.0,2.0,3.0,8.0,37.5,5.0,3.0,0.0,3.0,3.0,12.0,5.0,0.0,47.0,34.1,12.0,72.0,1.0,10.0,18.0,5.0,0.95,11.0,17.0,-6.0,-0.52,0.33,14.9,15.5,-0.6,-0.05,0.61,386.0,9.0,36.0,153.0,209.0,65.0,386.0,33.0,19.0,57.6,14.0,42.4,294.0,1979.0,906.0,28.0,24.0,14.0
Tammy Abraham,25.0,Forward,Serie A,Roma,8.0,2.0,242.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,6.0,4.0,15.0,0.37,0.0,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27,2.7,3.0,1.12,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.37,0.0,0.0,0.0,0.0,1.0,0.0,19.0,40.0,47.5,231.0,75.0,14.0,25.0,56.0,4.0,9.0,44.4,0.0,1.0,0.0,0.0,0.1,0.0,-0.1,3.0,1.0,1.0,0.0,4.0,0.0,6.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,5.0,54.5,1.0,4.0,2.0,50.0,1.49,0.74,0.25,0.5,11.9,0.0,0.0,0.0,0.6,0.6,0.15,0.4,0.4,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,30.0,7.1,2.0,60.0,0.0,6.0,20.0,1.0,1.38,4.0,4.0,0.0,0.0,-0.54,3.6,5.1,-1.5,-0.57,-0.89,69.0,4.0,4.0,31.0,34.0,9.0,69.0,6.0,2.0,33.3,4.0,66.7,37.0,208.0,111.0,6.0,2.0,2.0
Akor Adams,23.0,Forward,Ligue 1,Montpellier,32.0,27.0,2252.0,25.0,8.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,12.4,12.4,1.9,14.3,40.0,17.0,127.0,0.32,0.04,0.36,0.32,0.36,0.5,0.07,0.57,0.5,0.57,25.0,43.0,1.72,29.0,0.0,5.0,8.0,1.0,0.0,3.0,0.12,0.0,0.0,2.0,1.0,0.0,0.0,250.0,385.0,64.9,3676.0,786.0,125.0,185.0,67.6,89.0,126.0,70.6,14.0,29.0,48.3,1.0,1.9,1.4,-0.9,17.0,14.0,4.0,2.0,17.0,0.0,39.0,22.0,26.0,12.0,5.0,4.0,0.0,0.0,0.0,55.0,54.0,69.0,43.9,8.0,79.0,32.0,40.5,3.16,1.28,0.1,0.25,14.5,0.0,0.0,0.0,12.4,12.4,0.16,-4.4,-4.4,12.0,4.0,3.0,4.0,5.0,3.0,7.0,42.9,4.0,9.0,2.0,7.0,5.0,17.0,11.0,0.0,70.0,73.6,27.0,80.0,10.0,5.0,21.0,1.0,1.22,29.0,32.0,-3.0,-0.12,0.1,32.6,35.3,-2.7,-0.11,0.13,638.0,17.0,61.0,266.0,323.0,118.0,638.0,44.0,14.0,31.8,26.0,59.1,442.0,2673.0,1004.0,40.0,23.0,22.0
Junior Adamu,22.0,Forward,Bundesliga,Freiburg,15.0,0.0,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.16,0.05,0.16,1.2,2.0,1.73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,60.0,181.0,36.0,15.0,17.0,88.2,1.0,9.0,11.1,0.0,1.0,0.0,0.0,0.1,0.0,-0.1,1.0,0.0,1.0,0.0,1.0,0.0,7.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,5.0,6.0,45.5,0.0,2.0,1.0,50.0,1.71,0.86,0.0,0.0,12.1,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,5.0,1.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,7.0,3.4,0.0,0.0,0.0,15.0,7.0,13.0,1.47,1.0,5.0,-4.0,-3.43,-3.15,0.9,3.4,-2.5,-2.17,-2.22,54.0,2.0,7.0,32.0,18.0,6.0,54.0,3.0,0.0,0.0,2.0,66.7,29.0,141.0,48.0,1.0,1.0,0.0
Sargis Adamyan,30.0,Forward,Bundesliga,Köln,20.0,8.0,801.0,8.9,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,4.1,4.1,2.0,6.1,15.0,18.0,42.0,0.11,0.22,0.34,0.11,0.34,0.46,0.23,0.69,0.46,0.69,8.9,31.0,3.48,22.0,0.0,1.0,1.0,6.0,1.0,3.0,0.34,1.0,0.0,0.0,1.0,1.0,0.0,132.0,189.0,69.8,1883.0,483.0,73.0,94.0,77.7,44.0,64.0,68.8,5.0,9.0,55.6,2.0,2.0,1.1,0.0,12.0,16.0,3.0,0.0,18.0,0.0,18.0,13.0,8.0,4.0,5.0,9.0,1.0,0.0,0.0,30.0,14.0,37.0,27.5,1.0,31.0,13.0,41.9,3.48,1.46,0.03,0.08,12.4,0.0,0.0,0.0,4.1,4.1,0.13,-3.1,-3.1,14.0,9.0,2.0,9.0,3.0,6.0,11.0,54.5,5.0,16.0,1.0,15.0,5.0,19.0,7.0,0.0,40.0,26.2,8.0,73.0,1.0,12.0,18.0,5.0,0.8,9.0,21.0,-12.0,-1.35,-0.55,11.8,16.5,-4.6,-0.52,0.31,312.0,8.0,30.0,151.0,136.0,52.0,312.0,18.0,7.0,38.9,10.0,55.6,162.0,814.0,344.0,15.0,9.0,5.0
Elijah Adebayo,25.0,Forward,Premier League,Luton Town,27.0,16.0,1419.0,15.8,10.0,0.0,10.0,10.0,0.0,0.0,1.0,0.0,5.9,5.9,0.7,6.6,16.0,23.0,110.0,0.63,0.0,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42,15.8,31.0,1.97,19.0,0.0,5.0,5.0,2.0,0.0,5.0,0.32,2.0,0.0,0.0,3.0,0.0,0.0,144.0,204.0,70.6,1847.0,385.0,94.0,122.0,77.0,41.0,60.0,68.3,3.0,6.0,50.0,0.0,0.7,0.4,-0.7,14.0,9.0,4.0,0.0,23.0,0.0,27.0,16.0,13.0,5.0,6.0,1.0,0.0,0.0,0.0,34.0,43.0,43.0,50.0,10.0,31.0,14.0,45.2,1.97,0.89,0.32,0.71,9.6,0.0,0.0,0.0,5.9,5.9,0.19,4.1,4.1,4.0,1.0,1.0,0.0,3.0,1.0,12.0,8.3,11.0,13.0,2.0,11.0,6.0,10.0,25.0,0.0,53.0,41.5,16.0,77.0,5.0,11.0,16.0,0.0,0.78,30.0,36.0,-6.0,-0.38,0.83,22.2,28.4,-6.3,-0.4,0.92,462.0,27.0,52.0,172.0,243.0,82.0,462.0,67.0,18.0,26.9,46.0,68.7,265.0,1516.0,425.0,16.0,15.0,13.0
Karim Adeyemi,21.0,Forward,Bundesliga,Dortmund,21.0,10.0,913.0,10.1,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,3.5,3.5,2.0,5.5,52.0,26.0,96.0,0.3,0.1,0.39,0.3,0.39,0.34,0.2,0.54,0.34,0.54,10.1,25.0,2.46,13.0,1.0,3.0,2.0,6.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,218.0,299.0,72.9,2929.0,719.0,135.0,162.0,83.3,61.0,83.0,73.5,8.0,18.0,44.4,1.0,2.0,1.6,-1.0,9.0,9.0,10.0,1.0,26.0,1.0,20.0,19.0,1.0,25.0,3.0,14.0,0.0,0.0,0.0,60.0,14.0,9.0,60.9,3.0,23.0,10.0,43.5,2.27,0.99,0.13,0.3,14.6,0.0,0.0,0.0,3.5,3.5,0.15,-0.5,-0.5,16.0,14.0,9.0,4.0,3.0,8.0,20.0,40.0,12.0,11.0,0.0,11.0,3.0,19.0,5.0,0.0,43.0,29.8,10.0,64.0,1.0,11.0,25.0,3.0,1.76,19.0,15.0,4.0,0.39,-0.49,18.4,17.1,1.2,0.12,-0.31,458.0,10.0,69.0,170.0,227.0,63.0,458.0,60.0,18.0,30.0,32.0,53.3,310.0,2413.0,1171.0,52.0,22.0,27.0
Simon Adingra,21.0,Forward,Premier League,Brighton,31.0,25.0,2222.0,24.7,6.0,1.0,7.0,6.0,0.0,0.0,3.0,0.0,4.3,4.3,3.7,8.0,111.0,50.0,278.0,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,24.7,77.0,3.12,51.0,1.0,13.0,7.0,3.0,2.0,4.0,0.16,3.0,0.0,0.0,0.0,0.0,1.0,634.0,840.0,75.5,8828.0,1713.0,412.0,491.0,83.9,185.0,245.0,75.5,20.0,38.0,52.6,1.0,3.7,3.5,-2.7,33.0,17.0,33.0,11.0,50.0,0.0,29.0,19.0,17.0,76.0,19.0,20.0,1.0,0.0,0.0,118.0,8.0,12.0,40.0,6.0,52.0,22.0,42.3,2.11,0.89,0.12,0.27,15.9,0.0,0.0,0.0,4.3,4.3,0.08,1.7,1.7,45.0,20.0,23.0,11.0,11.0,19.0,42.0,45.2,23.0,31.0,1.0,30.0,19.0,64.0,22.0,0.0,72.0,65.0,25.0,83.0,10.0,6.0,26.0,1.0,1.19,34.0,38.0,-4.0,-0.16,0.06,33.9,35.9,-2.0,-0.08,-0.34,1159.0,36.0,187.0,364.0,627.0,153.0,1159.0,123.0,50.0,40.7,64.0,52.0,773.0,5063.0,2996.0,111.0,48.0,63.0
Brandon Aguilera,20.0,Forward,Premier League,Nott'ham Forest,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,50.0,48.0,23.0,3.0,6.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.09,11.0,1.0,3.0,4.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0,0.0,1.0,0.0
