Joueur,Age,Position,Ligue,equipe,Matchs joues,Titularisations,Minutes jouees,Matches equivalents 90 minutes,Buts,Passes decisives,Buts + Passes décisives,Buts hors penalty,Penalty marques,Penalty tentes,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG) ,Passes decisives attendues (xAG),xG + xAG hors penalty,Passes progressives ,Courses progressives ,Receptions progressives ,Buts par 90 minutes,Passes decisives par 90 minutes,Buts + Passes decisives par 90 minutes ,Buts hors penalty par 90 minutes,Buts + Passes decisives hors penalty par 90 min,xG par 90 minutes,xAG par 90 minutes,xG + xAG par 90 minutes,npxG par 90 minutes,npxG + xAG par 90 minutes,Matches (equivalents 90 minutes),Actions menant a un tir,Actions menant a un tir par 90 minutes ,Passes vivantes menant a un tir,Passes arretees menant a un tir,Ballons perdus menant a un tir,Tirs menant a un tir,Fautes subies menant a un tir,Actions defensives menant a un tir,Actions menant a un but,Actions menant a un but par 90 minutes,Passes vivantes menant a un but,Passes arretees menant a un but,Ballons perdus menant a un but,Tirs menant a un but,Fautes subies menant a un but ,Actions defensives menant a un but,Passes reussies totales,Passes tentees totales,Pourcentage de reussite des passes,Distance totale des passes ,Distance progressive des passes,Passes courtes reussies,Passes courtes tentees,Pourcentage de reussite des passes courtes,Passes moyennes reussies,Passes moyennes tentees,Pourcentage de reussite des passes moyennes,Passes longues reussies,Passes longues tentees,Pourcentage de reussite des passes longues,Passes decisives,Passes decisives attendues (xAG),Passes attendues ,Difference entre passes attendues et xAG,Passes cles,Passes vers le dernier tiers,Passes dans la surface adverse,Centres dans la surface adverse,Passes progressives,Deuxieme carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres,Performance Iterceptions ,Tacles reussis,Penalty obtenus,Penalty concedes,Buts contre son camp,Ballons recuperes,Duels aeriens gagnes,Duels aeriens perdus,Pourcentage de duels aeriens gagnes,Buts,Tirs,Tirs cadres,Pourcentage de tirs cadres,Tirs par 90 minutes,Tirs cadres par 90 minutes,Buts par tir,Buts par tir cadre,Distance moyenne des tirs,Coups francs,Penalty marques,Penalty tentes,Buts attendus (xG),Buts attendus hors penalty (npxG),npxG par tir,Difference entre buts reels et xG ,Difference entre buts reels hors penalty et npxG,Tacles,Tacles reussis,Tacles dans le tiers defensif,Tacles dans le tiers median,Tacles dans le tiers offensif,Tacles dans les duels ,Duels tentes,Pourcentage de tacles reussis Tkl%,Duels perdus,Contres,Tirs contres ,Passes contrees ,Interceptions ,Tacles + Interceptions,Degagements,Erreurs ayant conduit a un tir adverse,Minutes par match ,Pourcentage de minutes jouees ,Titularisations,Minutes par titularisation ,Matches completes,Remplacants,Minutes par entree,Matches non remplace,Points par match,Buts marques avec le joueur,Buts encaisses avec le joueur,Difference de buts avec le joueur,Difference de buts par 90 minutes,Difference avec/sans le joueur,xG marques avec le joueur ,xG encaisses avec le joueur,Difference de xG avec le joueur,Difference de xG par 90 minutes,Difference de xG avec/sans le joueur,Touches,Touches dans la surface defensive,Touches dans le tiers defensif,Touches dans le tier median,Touches dans le tiers offensif,Touches dans la surface offensive,Ballons en jeu,Dribbles tentes,Dribbles reussis,Pourcentage de dribbles reussis,Ballons perdus apres dribble,Pourcentage de ballons perdus apres dribble,Portees de balle,Distance totale parcourue avec le ballon,Distance progressive parcourue avec le ballon,Courses progressives,Courses vers le dernier tiers,Courses dans la surface adverse
Max Aarons,23.0,Defender,Premier League,Bournemouth,20.0,13.0,1237.0,13.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.9,22.0,43.0,26.0,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,13.7,23.0,1.68,16.0,4.0,0.0,0.0,3.0,0.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,450.0,581.0,77.5,7402.0,2789.0,220.0,248.0,88.7,188.0,235.0,80.0,34.0,63.0,54.0,1.0,0.8,0.9,0.2,7.0,25.0,13.0,2.0,43.0,0.0,12.0,26.0,2.0,13.0,8.0,19.0,0.0,1.0,0.0,75.0,5.0,11.0,31.3,0.0,2.0,0.0,0.0,0.15,0.0,0.0,0.0,23.9,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,29.0,19.0,20.0,7.0,2.0,20.0,34.0,58.8,14.0,9.0,5.0,4.0,8.0,37.0,27.0,0.0,62.0,36.2,13.0,85.0,9.0,7.0,19.0,5.0,0.8,12.0,34.0,-22.0,-1.6,-1.97,14.2,27.1,-12.8,-0.94,-1.37,711.0,43.0,252.0,303.0,165.0,11.0,711.0,34.0,14.0,41.2,12.0,35.3,364.0,2174.0,1121.0,22.0,12.0,7.0
Yunis Abdelhamid,35.0,Defender,Ligue 1,Reims,31.0,31.0,2781.0,30.9,4.0,0.0,4.0,3.0,1.0,1.0,5.0,0.0,3.4,2.6,0.3,2.9,36.0,137.0,9.0,0.13,0.0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09,30.9,24.0,0.78,19.0,1.0,0.0,3.0,1.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,1552.0,1836.0,84.5,29618.0,9672.0,487.0,548.0,88.9,893.0,976.0,91.5,141.0,252.0,56.0,0.0,0.3,0.6,-0.3,8.0,129.0,3.0,0.0,137.0,0.0,26.0,12.0,0.0,3.0,39.0,35.0,0.0,0.0,1.0,149.0,61.0,37.0,62.2,4.0,21.0,7.0,33.3,0.68,0.23,0.14,0.43,15.0,0.0,1.0,1.0,3.4,2.6,0.13,0.6,0.4,64.0,35.0,36.0,23.0,5.0,26.0,45.0,57.8,19.0,51.0,32.0,19.0,39.0,103.0,109.0,2.0,90.0,90.9,31.0,90.0,30.0,0.0,0.0,0.0,1.29,37.0,46.0,-9.0,-0.29,-1.58,39.2,43.7,-4.5,-0.14,-0.97,2185.0,293.0,976.0,1119.0,114.0,35.0,2184.0,15.0,8.0,53.3,7.0,46.7,1506.0,8663.0,4921.0,36.0,19.0,0.0
Nabil Aberdin,20.0,Defender,La Liga,Getafe,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,79.0,75.9,1159.0,426.0,22.0,26.0,84.6,29.0,34.0,85.3,7.0,17.0,41.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,90.0,5.3,2.0,90.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,-2.0,-1.0,-0.72,1.2,2.5,-1.3,-0.67,-0.48,87.0,4.0,37.0,49.0,1.0,1.0,87.0,0.0,0.0,0.0,0.0,0.0,47.0,326.0,183.0,0.0,0.0,0.0
Abner,23.0,Defender,La Liga,Betis,23.0,15.0,1400.0,15.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.0,1.1,14.0,33.0,58.0,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,15.6,14.0,0.9,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,797.0,77.2,9211.0,4552.0,351.0,394.0,89.1,203.0,265.0,76.6,37.0,79.0,46.8,1.0,1.0,1.0,0.0,8.0,20.0,7.0,2.0,33.0,0.0,16.0,2.0,2.0,26.0,15.0,19.0,0.0,1.0,0.0,79.0,14.0,10.0,58.3,0.0,4.0,0.0,0.0,0.26,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,25.0,19.0,15.0,9.0,1.0,17.0,34.0,50.0,17.0,23.0,5.0,18.0,15.0,40.0,62.0,0.0,61.0,40.9,15.0,82.0,12.0,8.0,22.0,10.0,1.61,20.0,20.0,0.0,0.0,-0.13,17.2,27.2,-9.9,-0.64,-0.8,966.0,72.0,344.0,405.0,226.0,28.0,966.0,13.0,7.0,53.8,5.0,38.5,447.0,1802.0,949.0,14.0,10.0,5.0
Abdel Abqar,24.0,Defender,La Liga,Alavés,27.0,27.0,2312.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.5,0.5,0.2,0.6,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,25.7,12.0,0.47,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,762.0,72.6,12370.0,4872.0,141.0,164.0,86.0,302.0,339.0,89.1,99.0,225.0,44.0,0.0,0.2,0.2,-0.2,3.0,61.0,2.0,0.0,49.0,0.0,33.0,23.0,1.0,2.0,23.0,19.0,0.0,2.0,1.0,109.0,39.0,36.0,52.0,0.0,10.0,3.0,30.0,0.39,0.12,0.0,0.0,12.1,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,35.0,19.0,28.0,5.0,2.0,21.0,35.0,60.0,14.0,31.0,26.0,5.0,23.0,58.0,115.0,0.0,86.0,67.6,27.0,86.0,23.0,0.0,0.0,4.0,1.07,21.0,30.0,-9.0,-0.35,-0.27,27.0,30.7,-3.8,-0.15,-0.58,1032.0,191.0,570.0,422.0,42.0,21.0,1032.0,5.0,3.0,60.0,1.0,20.0,492.0,2460.0,1418.0,7.0,6.0,0.0
Francesco Acerbi,35.0,Defender,Serie A,Inter,29.0,26.0,2388.0,26.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,1.8,3.4,21.0,87.0,24.0,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13,26.5,22.0,0.83,19.0,0.0,0.0,3.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1615.0,1781.0,90.7,29326.0,9174.0,601.0,650.0,92.5,856.0,908.0,94.3,132.0,179.0,73.7,1.0,1.8,1.3,-0.8,7.0,58.0,5.0,2.0,87.0,0.0,19.0,24.0,3.0,9.0,32.0,13.0,0.0,0.0,0.0,102.0,70.0,37.0,65.4,3.0,15.0,6.0,40.0,0.57,0.23,0.2,0.5,12.0,0.0,0.0,0.0,1.6,1.6,0.11,1.4,1.4,22.0,13.0,16.0,6.0,0.0,11.0,14.0,78.6,3.0,20.0,13.0,7.0,32.0,54.0,77.0,1.0,82.0,69.8,26.0,89.0,25.0,3.0,25.0,2.0,2.41,55.0,19.0,36.0,1.36,-1.35,52.2,23.3,28.9,1.09,-0.5,1977.0,219.0,941.0,946.0,98.0,25.0,1977.0,3.0,2.0,66.7,1.0,33.3,1211.0,5779.0,3081.0,21.0,11.0,0.0
Joshua Acheampong,17.0,Defender,Premier League,Chelsea,1.0,0.0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,18.0,7.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.2,0.0,0.0,0.0,1.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,-0.37,0.0,0.6,-0.5,-7.7,-8.15,6.0,5.0,5.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,12.0,0.0,0.0,0.0
Marcos Acuña,31.0,Defender,La Liga,Sevilla,21.0,18.0,1292.0,14.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.3,0.3,1.5,1.8,23.0,59.0,42.0,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13,14.4,49.0,3.42,28.0,15.0,3.0,0.0,2.0,1.0,4.0,0.28,1.0,3.0,0.0,0.0,0.0,0.0,628.0,847.0,74.1,12126.0,4928.0,260.0,297.0,87.5,262.0,328.0,79.9,94.0,183.0,51.4,2.0,1.5,2.1,0.5,23.0,52.0,19.0,12.0,59.0,0.0,18.0,17.0,1.0,82.0,4.0,21.0,0.0,0.0,0.0,99.0,13.0,11.0,54.2,1.0,9.0,4.0,44.4,0.63,0.28,0.11,0.25,27.9,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,33.0,21.0,20.0,12.0,1.0,9.0,14.0,64.3,5.0,12.0,2.0,10.0,4.0,37.0,25.0,0.0,62.0,37.8,18.0,69.0,5.0,3.0,19.0,2.0,1.14,20.0,21.0,-1.0,-0.07,0.14,17.1,21.9,-4.8,-0.34,-0.07,984.0,33.0,270.0,476.0,253.0,10.0,984.0,21.0,10.0,47.6,8.0,38.1,473.0,2266.0,1224.0,23.0,20.0,4.0
Tosin Adarabioyo,25.0,Defender,Premier League,Fulham,20.0,18.0,1617.0,18.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,10.0,62.0,5.0,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,18.0,10.0,0.56,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,1216.0,84.5,21010.0,7956.0,277.0,307.0,90.2,627.0,699.0,89.7,115.0,177.0,65.0,0.0,0.1,0.3,-0.1,2.0,47.0,2.0,0.0,62.0,0.0,10.0,5.0,0.0,1.0,25.0,11.0,0.0,0.0,0.0,43.0,56.0,28.0,66.7,2.0,14.0,5.0,35.7,0.78,0.28,0.14,0.4,14.2,0.0,0.0,0.0,0.7,0.7,0.05,1.3,1.3,21.0,11.0,16.0,5.0,0.0,12.0,21.0,57.1,9.0,16.0,11.0,5.0,25.0,46.0,80.0,0.0,81.0,47.3,18.0,90.0,17.0,2.0,2.0,2.0,1.4,28.0,25.0,3.0,0.17,0.62,27.6,28.0,-0.5,-0.03,0.56,1390.0,181.0,713.0,631.0,48.0,29.0,1390.0,3.0,1.0,33.3,0.0,0.0,817.0,4560.0,2661.0,10.0,12.0,1.0
Nathaniel Adjei,20.0,Defender,Ligue 1,Lorient,15.0,14.0,1243.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,0.5,10.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,13.8,11.0,0.8,8.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,669.0,86.4,10635.0,4097.0,216.0,246.0,87.8,294.0,323.0,91.0,52.0,73.0,71.2,0.0,0.1,0.5,-0.1,3.0,38.0,1.0,0.0,34.0,0.0,10.0,12.0,2.0,2.0,18.0,9.0,0.0,0.0,0.0,60.0,30.0,22.0,57.7,0.0,4.0,0.0,0.0,0.29,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,13.0,9.0,8.0,3.0,2.0,6.0,7.0,85.7,1.0,15.0,8.0,7.0,18.0,31.0,64.0,1.0,83.0,40.6,14.0,88.0,13.0,1.0,12.0,0.0,0.93,15.0,27.0,-12.0,-0.87,-0.32,15.9,23.5,-7.6,-0.55,-0.08,811.0,94.0,374.0,397.0,46.0,10.0,811.0,5.0,4.0,80.0,1.0,20.0,554.0,3506.0,1609.0,10.0,12.0,0.0
