Joueur,Age,Position,Ligue,equipe,Matchs joues,Titularisations,Minutes jouees,Matches equivalents 90 minutes,Buts,Passes decisives,Buts + Passes décisives,Buts hors penalty,Penalty marques,Penalty tentes,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG) ,Passes decisives attendues (xAG),xG + xAG hors penalty,Passes progressives ,Courses progressives ,Receptions progressives ,Buts par 90 minutes,Passes decisives par 90 minutes,Buts + Passes decisives par 90 minutes ,Buts hors penalty par 90 minutes,Buts + Passes decisives hors penalty par 90 min,xG par 90 minutes,xAG par 90 minutes,xG + xAG par 90 minutes,npxG par 90 minutes,npxG + xAG par 90 minutes,Matches (equivalents 90 minutes),Actions menant a un tir,Actions menant a un tir par 90 minutes ,Passes vivantes menant a un tir,Passes arretees menant a un tir,Ballons perdus menant a un tir,Tirs menant a un tir,Fautes subies menant a un tir,Actions defensives menant a un tir,Actions menant a un but,Actions menant a un but par 90 minutes,Passes vivantes menant a un but,Passes arretees menant a un but,Ballons perdus menant a un but,Tirs menant a un but,Fautes subies menant a un but ,Actions defensives menant a un but,Passes reussies totales,Passes tentees totales,Pourcentage de reussite des passes,Distance totale des passes ,Distance progressive des passes,Passes courtes reussies,Passes courtes tentees,Pourcentage de reussite des passes courtes,Passes moyennes reussies,Passes moyennes tentees,Pourcentage de reussite des passes moyennes,Passes longues reussies,Passes longues tentees,Pourcentage de reussite des passes longues,Passes decisives,Passes decisives attendues (xAG),Passes attendues ,Difference entre passes attendues et xAG,Passes cles,Passes vers le dernier tiers,Passes dans la surface adverse,Centres dans la surface adverse,Passes progressives,Deuxieme carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres,Performance Iterceptions ,Tacles reussis,Penalty obtenus,Penalty concedes,Buts contre son camp,Ballons recuperes,Duels aeriens gagnes,Duels aeriens perdus,Pourcentage de duels aeriens gagnes,Buts,Tirs,Tirs cadres,Pourcentage de tirs cadres,Tirs par 90 minutes,Tirs cadres par 90 minutes,Buts par tir,Buts par tir cadre,Distance moyenne des tirs,Coups francs,Penalty marques,Penalty tentes,Buts attendus (xG),Buts attendus hors penalty (npxG),npxG par tir,Difference entre buts reels et xG ,Difference entre buts reels hors penalty et npxG,Tacles,Tacles reussis,Tacles dans le tiers defensif,Tacles dans le tiers median,Tacles dans le tiers offensif,Tacles dans les duels ,Duels tentes,Pourcentage de tacles reussis Tkl%,Duels perdus,Contres,Tirs contres ,Passes contrees ,Interceptions ,Tacles + Interceptions,Degagements,Erreurs ayant conduit a un tir adverse,Minutes par match ,Pourcentage de minutes jouees ,Titularisations,Minutes par titularisation ,Matches completes,Remplacants,Minutes par entree,Matches non remplace,Points par match,Buts marques avec le joueur,Buts encaisses avec le joueur,Difference de buts avec le joueur,Difference de buts par 90 minutes,Difference avec/sans le joueur,xG marques avec le joueur ,xG encaisses avec le joueur,Difference de xG avec le joueur,Difference de xG par 90 minutes,Difference de xG avec/sans le joueur,Touches,Touches dans la surface defensive,Touches dans le tiers defensif,Touches dans le tier median,Touches dans le tiers offensif,Touches dans la surface offensive,Ballons en jeu,Dribbles tentes,Dribbles reussis,Pourcentage de dribbles reussis,Ballons perdus apres dribble,Pourcentage de ballons perdus apres dribble,Portees de balle,Distance totale parcourue avec le ballon,Distance progressive parcourue avec le ballon,Courses progressives,Courses vers le dernier tiers,Courses dans la surface adverse
Brenden Aaronson,22.0,Midfielder,Bundesliga,Union Berlin,30.0,14.0,1267.0,14.1,2.0,2.0,4.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,1.9,3.8,37.0,56.0,91.0,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,14.1,53.0,3.76,41.0,1.0,8.0,3.0,0.0,0.0,8.0,0.57,6.0,0.0,2.0,0.0,0.0,0.0,365.0,472.0,77.3,4890.0,1506.0,206.0,240.0,85.8,105.0,130.0,80.8,19.0,32.0,59.4,2.0,1.9,2.0,0.1,22.0,30.0,14.0,3.0,56.0,1.0,15.0,25.0,5.0,22.0,2.0,18.0,0.0,0.0,0.0,88.0,13.0,16.0,44.8,2.0,18.0,7.0,38.9,1.28,0.5,0.11,0.29,18.4,0.0,0.0,0.0,2.0,2.0,0.11,0.0,0.0,32.0,18.0,13.0,13.0,6.0,16.0,32.0,50.0,16.0,26.0,1.0,25.0,2.0,34.0,4.0,0.0,42.0,41.4,14.0,68.0,2.0,16.0,20.0,2.0,1.07,17.0,23.0,-6.0,-0.43,0.53,15.4,21.2,-5.9,-0.42,-0.19,675.0,11.0,108.0,301.0,293.0,47.0,675.0,77.0,34.0,44.2,41.0,53.2,406.0,2721.0,1387.0,37.0,29.0,9.0
Paxten Aaronson,19.0,Midfielder,Bundesliga,Eint Frankfurt,7.0,1.0,101.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,5.0,7.0,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19,1.1,1.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,41.0,50.0,82.0,576.0,71.0,20.0,25.0,80.0,20.0,22.0,90.9,0.0,2.0,0.0,1.0,0.1,0.1,0.9,1.0,4.0,2.0,0.0,5.0,0.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,100.0,0.0,2.0,2.0,100.0,1.78,1.78,0.0,0.0,15.1,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,14.0,3.3,1.0,45.0,0.0,6.0,9.0,7.0,0.86,2.0,2.0,0.0,0.0,-0.03,1.1,2.6,-1.5,-1.3,-1.16,72.0,0.0,6.0,39.0,28.0,5.0,72.0,7.0,2.0,28.6,4.0,57.1,43.0,193.0,50.0,2.0,0.0,1.0
Salis Abdul Samed,23.0,Midfielder,Ligue 1,Lens,27.0,17.0,1519.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.5,1.3,9.0,78.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,16.9,27.0,1.6,27.0,0.0,0.0,0.0,0.0,0.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,796.0,895.0,88.9,12470.0,3008.0,393.0,433.0,90.8,330.0,360.0,91.7,41.0,54.0,75.9,0.0,0.5,1.1,-0.5,6.0,87.0,5.0,2.0,78.0,0.0,34.0,16.0,0.0,3.0,12.0,14.0,0.0,3.0,0.0,89.0,2.0,7.0,22.2,0.0,5.0,0.0,0.0,0.3,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.8,0.8,0.17,-0.8,-0.8,21.0,14.0,8.0,10.0,3.0,8.0,18.0,44.4,10.0,12.0,1.0,11.0,12.0,33.0,18.0,0.0,56.0,49.6,17.0,81.0,11.0,10.0,15.0,4.0,1.74,20.0,18.0,2.0,0.12,-0.23,24.6,24.2,0.4,0.02,-0.39,1022.0,21.0,168.0,647.0,218.0,7.0,1022.0,19.0,7.0,36.8,11.0,57.9,823.0,4361.0,1683.0,9.0,33.0,0.0
Laurent Abergel,30.0,Midfielder,Ligue 1,Lorient,33.0,32.0,2860.0,31.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.1,1.1,2.2,3.3,38.0,194.0,51.0,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,31.8,81.0,2.55,67.0,3.0,2.0,1.0,2.0,6.0,5.0,0.16,3.0,0.0,1.0,0.0,0.0,1.0,1551.0,1836.0,84.5,27382.0,8613.0,629.0,707.0,89.0,711.0,802.0,88.7,150.0,233.0,64.4,1.0,2.2,1.9,-1.2,30.0,188.0,23.0,3.0,194.0,0.0,36.0,36.0,1.0,34.0,61.0,52.0,0.0,0.0,0.0,226.0,15.0,14.0,51.7,2.0,26.0,11.0,42.3,0.82,0.35,0.08,0.18,26.5,0.0,0.0,0.0,1.1,1.1,0.04,0.9,0.9,85.0,52.0,43.0,34.0,8.0,38.0,96.0,39.6,58.0,29.0,6.0,23.0,61.0,146.0,61.0,3.0,87.0,93.5,32.0,89.0,29.0,1.0,23.0,0.0,0.88,41.0,59.0,-18.0,-0.57,1.68,34.8,50.1,-15.3,-0.48,0.37,2164.0,105.0,553.0,1288.0,349.0,10.0,2164.0,65.0,44.0,67.7,18.0,27.7,1649.0,8707.0,3892.0,38.0,49.0,3.0
Zakaria Aboukhlal,23.0,Midfielder,Ligue 1,Toulouse,13.0,9.0,754.0,8.4,3.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,2.8,2.0,0.2,2.2,23.0,20.0,75.0,0.36,0.0,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26,8.4,20.0,2.39,10.0,0.0,2.0,3.0,3.0,2.0,2.0,0.24,0.0,0.0,0.0,1.0,1.0,0.0,140.0,196.0,71.4,2025.0,599.0,70.0,95.0,73.7,53.0,66.0,80.3,6.0,8.0,75.0,0.0,0.2,1.1,-0.2,5.0,10.0,9.0,1.0,20.0,0.0,17.0,15.0,8.0,5.0,1.0,8.0,1.0,0.0,0.0,21.0,6.0,7.0,46.2,3.0,27.0,7.0,25.9,3.22,0.84,0.07,0.29,18.7,0.0,1.0,1.0,2.8,2.0,0.07,0.2,0.0,9.0,8.0,1.0,5.0,3.0,3.0,12.0,25.0,9.0,9.0,1.0,8.0,1.0,10.0,2.0,0.0,58.0,24.6,9.0,74.0,1.0,4.0,21.0,0.0,1.54,11.0,10.0,1.0,0.12,0.31,8.1,13.4,-5.3,-0.64,-0.54,305.0,1.0,27.0,123.0,161.0,38.0,304.0,31.0,8.0,25.8,22.0,71.0,233.0,1651.0,745.0,23.0,13.0,8.0
Tyler Adams,24.0,Midfielder,Premier League,Bournemouth,3.0,1.0,121.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,1.3,3.0,2.25,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,71.0,83.1,973.0,262.0,35.0,39.0,89.7,18.0,24.0,75.0,6.0,8.0,75.0,0.0,0.1,0.0,-0.1,1.0,9.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,7.0,2.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,4.0,8.0,2.0,0.0,40.0,3.5,1.0,90.0,1.0,2.0,16.0,2.0,2.0,4.0,3.0,1.0,0.74,1.13,2.1,1.5,0.6,0.43,0.51,91.0,3.0,23.0,54.0,14.0,4.0,91.0,3.0,2.0,66.7,0.0,0.0,44.0,193.0,116.0,4.0,1.0,2.0
Amine Adli,23.0,Midfielder,Bundesliga,Leverkusen,23.0,8.0,898.0,10.0,4.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,3.3,3.3,2.3,5.6,32.0,39.0,131.0,0.4,0.6,1.0,0.4,1.0,0.33,0.23,0.56,0.33,0.56,10.0,52.0,5.22,39.0,0.0,6.0,3.0,4.0,0.0,9.0,0.9,5.0,0.0,2.0,1.0,1.0,0.0,367.0,459.0,80.0,4683.0,1110.0,252.0,291.0,86.6,91.0,110.0,82.7,7.0,18.0,38.9,6.0,2.3,2.9,3.7,21.0,19.0,18.0,3.0,39.0,0.0,14.0,28.0,7.0,23.0,6.0,7.0,0.0,0.0,0.0,36.0,21.0,22.0,48.8,4.0,27.0,15.0,55.6,2.71,1.5,0.15,0.27,13.7,0.0,0.0,0.0,3.3,3.3,0.12,0.7,0.7,16.0,7.0,2.0,10.0,4.0,7.0,17.0,41.2,10.0,10.0,2.0,8.0,6.0,22.0,5.0,0.0,39.0,29.3,8.0,71.0,1.0,15.0,22.0,4.0,2.65,28.0,9.0,19.0,1.9,-0.01,24.2,10.4,13.8,1.39,0.14,575.0,7.0,52.0,231.0,299.0,66.0,575.0,27.0,13.0,48.1,10.0,37.0,339.0,1768.0,1021.0,32.0,25.0,16.0
Yacine Adli,23.0,Midfielder,Serie A,Milan,24.0,17.0,1407.0,15.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,2.2,2.5,30.0,125.0,26.0,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16,15.6,62.0,3.97,41.0,18.0,3.0,0.0,0.0,0.0,8.0,0.51,4.0,3.0,1.0,0.0,0.0,0.0,1125.0,1300.0,86.5,20142.0,6752.0,489.0,534.0,91.6,487.0,534.0,91.2,120.0,177.0,67.8,2.0,2.2,2.0,-0.2,22.0,149.0,16.0,6.0,125.0,0.0,26.0,9.0,1.0,50.0,20.0,17.0,0.0,1.0,0.0,94.0,15.0,10.0,60.0,1.0,4.0,1.0,25.0,0.26,0.06,0.25,1.0,19.8,0.0,0.0,0.0,0.3,0.3,0.07,0.7,0.7,34.0,17.0,17.0,13.0,4.0,13.0,35.0,37.1,22.0,22.0,8.0,14.0,20.0,54.0,15.0,1.0,59.0,41.1,17.0,74.0,6.0,7.0,21.0,14.0,1.88,25.0,22.0,3.0,0.19,-0.88,23.3,17.7,5.6,0.36,-0.32,1439.0,38.0,262.0,913.0,281.0,8.0,1439.0,32.0,22.0,68.8,8.0,25.0,873.0,4728.0,2144.0,30.0,27.0,3.0
Adson,22.0,Midfielder,Ligue 1,Nantes,8.0,2.0,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,18.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13,2.6,9.0,3.4,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,130.0,88.5,1750.0,378.0,61.0,64.0,95.3,40.0,46.0,87.0,8.0,10.0,80.0,0.0,0.1,0.3,-0.1,3.0,11.0,4.0,0.0,15.0,0.0,4.0,4.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,1.89,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,7.0,6.0,1.0,6.0,0.0,2.0,2.0,100.0,0.0,5.0,0.0,5.0,2.0,9.0,2.0,0.0,30.0,7.8,2.0,61.0,0.0,6.0,20.0,0.0,1.0,2.0,6.0,-4.0,-1.51,-0.84,3.3,5.4,-2.1,-0.79,-0.37,163.0,0.0,18.0,81.0,68.0,10.0,163.0,8.0,5.0,62.5,3.0,37.5,137.0,934.0,451.0,18.0,9.0,4.0
Michel Aebischer,26.0,Midfielder,Serie A,Bologna,36.0,26.0,2230.0,24.8,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,1.5,2.6,26.0,125.0,55.0,0.0,0.04,0.04,0.0,0.04,0.04,0.06,0.11,0.04,0.11,24.8,40.0,1.61,32.0,2.0,2.0,2.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1370.0,1503.0,91.2,21535.0,5798.0,729.0,773.0,94.3,525.0,562.0,93.4,79.0,103.0,76.7,1.0,1.5,1.0,-0.5,17.0,117.0,9.0,1.0,125.0,0.0,37.0,30.0,0.0,12.0,12.0,20.0,0.0,0.0,0.0,135.0,11.0,16.0,40.7,0.0,18.0,5.0,27.8,0.73,0.2,0.0,0.0,22.4,0.0,0.0,0.0,1.1,1.1,0.06,-1.1,-1.1,35.0,20.0,9.0,20.0,6.0,15.0,34.0,44.1,19.0,28.0,6.0,22.0,12.0,47.0,22.0,0.0,62.0,65.2,26.0,79.0,13.0,10.0,17.0,1.0,1.81,29.0,20.0,9.0,0.36,-0.62,27.6,23.8,3.7,0.15,-0.39,1694.0,51.0,405.0,1032.0,270.0,23.0,1694.0,25.0,14.0,56.0,9.0,36.0,1040.0,4507.0,2248.0,26.0,23.0,3.0
